target,text
0,Watching Batman Forever &lt;3 Chris ODonnel &lt;3 Poor Midway state... they got rained out  damn lost my u button
0,Met with 2 girls I used to live with. One of them is moving to surberbia and marrying a jerk. She's only 24. How precocious! Sad though 
0,Man its raining! Normally thats a good thing but my love wanted to go to the park w her kid now we cant go  maybe we'll do  something  ...
0,@7News i know i heard. it was in the same town as me. the kid was air lifted and flown from falmouth hospital to boston. 
0,wishes finding friends in Twitter would be as easy as in Facebook 
4,I'm headed back to WA for a week @martinar2100 and @geministarr. Got some training to do! 
0,@mcdesaro My life has been all LSAT and a little tv. 
0,"@jae_one I would if my little one wasn't asleep, it doesn't help but I would! "
4,i cant sleep `til your next to mee~ 
4,@mikeboyd I'm grabbing the album now 
0,Finally! Timbaland is back to work with Missy and Ginuwine! Only one missing? Aaliyah  http://bit.ly/1adspd
0,embarrassed. reality check 
4,"Today I had a day with Demi, Jonas Brothers, and Miley at a videoshoot. I got to say, I felt reallyyy left out. Nick and Joe are so great "
0,"Going for a little nap, cause I'm absolutely....SHATTERED! "
4,@chrisyoungraps your not the only one..LOL 
0,@GeezusHaberdash Awww   I told you when I would change it. I suggest you try to get in touch w/ Dre's people. LOL
0,Ate a pot noodle for lunch.... guess its been so long since I had one that I pretty much forgot how rank they are... still hungry.... 
4,"@lollypoppy1987 i think the more you mention them the more they follow, thats like 10 in 2 days now! lol coffee "
4,@caseyore well when I have to move again I know where I am going!!  yay!! lol
0,watching the live streaming of Miss Wisconsin. cried a bit when it sank in that I'm not there competing 
4,new greenday song in my head. 
4,"@aitchmade : haha, nice 2 see u here "
0,"@mcflyharry Harry, says 'hi carol', please, i beg i beg, i cry so much ( please please I LOVE YOU SO MUCH  answer me. you ignore me 4"
0,@araia1906 hahah i know. they're almost gone 
4,@fartingpen Saloon-&gt;Star Trek? Go where every man goes and then boldly go where no man has gone before? Star Trek is on my must see list 
4,I have a pet butterfly hanging out in my room. his name is Philbert 
4,"@CindiCupcaking that's family for you  imna crash, woke up 630 3 days in a row....lol"
4,@djcapone Morning Sunshine. 
4,"@flipflops *gasps* as long as your promise to say you are an ole miss fan if pressed on the subject. you don't care either way, right? "
4,I got my tounge pierced 
0,"@headphones4two it that terribly fan girly of me? ahh.  i'm sorry, Damon! but that's just what i think..."
0,Got the icee I wanted. I always get what I want. 
0,25% of men in SA admit to rape. I think I'm going to be ill.  http://www.guardian.co.uk/world/2009/jun/17/south-africa-rape-survey
4,@kittychix Um...that's a good question. Why are you going through this whole unnecessary ordeal? 
0,@djtgif blame irt all on @MrBoutique he did it 
4,@paperboyfabe it is ABSOLUTELY NOTHING  u silly... I'm good babes. I do what I do and I know what I know.
0,@ToniC813 
0,Le sigh @ riggens that make easy shit hard 
4,I have the cutest dog 
4,"Everything bagel, perfectly toasted. Yum "
4,Then time to cash my fugly paycheck! 
0,"not feelin' good at all. shittttttt, fuck stomachaches, headaches, and body sores. i went to the bathroom a billion times. FML. "
4,http://fotolog.com/iheartmarion please?  about marion cotillard â¥
0,"@fifleaona I work in a room in the middle of the office, thus no windows. We call it the programmer cave, I  can only imagine the sky. "
4,"because I'm tired, but can't sleep, I'm going to put on Harry Potter and make popcorn. "
0,@ankur79 quite a lot ...more than a lakh 
4,"@DENISE_RICHARDS A man loves his sweetheart the most, his wife the best, but his mother the longest. Happy Mother's Day "
4,"Woke up!  Helloooooooo, what's up?  What's new on the tweeting side of things? "
0,is sad today  broke my shoulder and collarbone   
0,What the hell is wrong with me? Everyone has a boyfriend/girlfriend except me. i want a boyfriend so bad  i want some one 
4,eating chickenburger 
0,sooo upset.. wish i was going to see @JesseMcCartney tonight  this sucks majorly. gah!
4,"@idesignstudios doing pretty good as well. still in romania, enjoying life "
0,and now it's raining again this side of Manila....where's the sun????... 
4,@pretas I'm real good.  How's the biz?
4,@xxxRobyn yeahh hope fully she will  fiingers crossed
4,Game over with LMS : we need something else ! 
4,been hurting most of the day. but Dr Barnes has takin care of me  iloveyoubabi xox  craving tattoos  
0,me = shitty typer... i wish i had something better to do than read papers on schizophrenia right now 
0,It's already tuesday and I have 4 essays to edit by 9am 
0,@meocat lol we left chloe at home while we went to lunch. chloe was scared of coco.  lol
4,@vishalgangawane thnx...got thm 
4,I get super geeked @ new school supplies. Makes me sooo optimistic   http://twitpic.com/6unmd
0,Dodge Charger cop cars? Evil transformer 
0,i fed 2 month old puppy a bone the size of his esophagus. he just freakin swallowed it!im scared.will it do my dog harm?help 
0,"oh, where's my iPhone? I can't find it anywhere  where did I put it last time?? I totally forgot! well, I'm going to look for it ("
0,"I thought I had like 8 Maltesers left in the packet, I only had 1. "
0,has just became a PAUL GASOL hater because he earned his first championship ring with the LAKERS 
0,@tommcfly Enjoy it! I don't have enough time to see movies. Sometimes university sucks!  Spend a good time in Chile! Argentina miss you!
0,soo jealous .. doris is eating icee creamm cakee  its my favoritee
0,oy NK DRAMA KIDS! OYYYYYYYY So Stressed and frustrated! 
4,@Maaaaaay but she lalalaaaves me  Well nvm.. We need to loosen her up a bit by the end of summer.
4,@KRichcreek you're welcome 
4,"@metaglyph it was, and i was right in the front! Its a new venue and both it and the crowd were great, which usually one or other sucks! "
0,"Suffering severe depression from the thought of not seeing @SpringWestEnd in the summer anymore, or anytime in the next few years "
0,"@_hb nice tip about the technet sub, won't work properly in Firefox 3.5b on Ubuntu tho', it doesn't even like IE6 thru WINE  #WINE #Ubuntu"
4,@jkell88 you might be interested in following this guy @csiriano 
0,"Goodbye, rain...hello, HEAT "
0,Not feeling well  Going home now.
4,@Norsktroll You would have to ask him...perhaps he will respond 
0,Just got home from Disneyland.  Never order mexican food from where mickey mouse lives.  
0,"Miserable, chap across the street just passed away "
0,homework 
4,im currently watching 90210 
4,@nerdriot it was nice to see your beeeautiful face today. 
4,Back from seeing UP. Darling movie 
4,I totally want to give it to a 14 year old boy 
0,@nitinsgr has to be the world coz it has nuthin to do with da net n im using da lappy which is fast!! or maybe its just me 
0,im sad  (nothing to do with school) (trust me)
0,"@ddlovato  Have fun in South America, though! Go visit Tegucigalpa! lol jk That's the only S.American place I remember from Spanish class."
0,@tracci heard u talked to jon tonigh! no pic  sorry chica! hope u had fun! luv ya
4,"@beckafreds damn, i was looking for my shadow "
0,"@Bhooshan @netcitizen I am VERY interested in politics. @shashitharoor asked for volunteers in Delhi for his team, I sent a mail,no reply "
0,Thinks that it's completely pointless being sunny if i have to tidy me room !!!!!  xx
0,SO... my work official sucks. they blocked facebook completly... but not myspace &amp; twitter. WTF? now i actually have to work. &gt;  LOL
4,My new toadhouse!  I have happy toads   http://jewelzodonnell.blogspot.com
4,"@zerosandones I like the look of that eeeBuntu, hopefully @iancleary can help me install it on my S101 "
0,@zandraisabelle oh my god! i would be scarred too! poor you  and thanks &lt;3 me too
0,uh oh! my mouse is sick! 
0,@C00L_BEANS ah I got no idea sorry 
0,I am all moved but Skittles died while we were on vacation 
0,@BQBrat ill come bring you a napkin  &lt;3 you
4,@asdosanjh you'll be signing autographs soon 
0,@tommcfly what channel is mtv awards on?:O i cant find it anywhere  xxx
4,Going to guiding on river. Fishing with beginners. Yesterday we tied simple rainbow tubes and now we are going test them! 
4,Awesomeness is being able to chat with Tarn whilst I work and STILL getting stuff done! 
0,"if i don't open, they might break-in - been trying to open door already.. was holding key in one-side, while someone was trying to turn "
0,"@jaybrannan was gonna get tickets to ur show in Dallas until i saw it's on 7/19, I'll be in Cancun that weekend!  "
4,"going to kitchen, i want eat "
0,fuc..ing Thursday .... I'm so tired 
4,only just over a week before we visit chipshopawards  wonder if we'll get any chips or vinegar  meantime looking for design inspiration
0,i will not eat anymore...baked ruffle chips--i don't even like ruffles 
4,@dannygokey http://twitpic.com/6rshi - awwww those are sooo cute!!!  I cant wait to see you in August!!  You make Milwaukee proud!!! 
0,worst feeling ever   this succcckkksss.
4,http://twitpic.com/698wd - How can you hate Aaron Johnson  Ahhhhh 
0,@yellowbrickedrd  One of my really close friends left for Seattle too. Everyone I know is leaving.
0,No One's Gonna Love You - Band of Horses. I hope to not be THIS sleep deprived in Art School. I'll be up at 4:30 am to work  *Sniffs*
0,@Kiara004 now i wish i was going  to sac anime 
4,"today i shall stay indoors and read my sister's keepers. come night time, it's a different plan altogether "
4,Damn.. my new cell phone cover is so fly 
0,Im tryna paint but I DONT HAVE WHITE PAINT! 
0,i cant install tweetdeck..twice already..poor me..  
0,i am so sore from the gym yesterday... i seriously cant move my arms 
0,"really needs to clean her room.....argh so much to do this weekend, NO sleeping in and relaxing for me "
0,Check this video out -- Bill Cosby's Nerds NERDY  HEHEHEH h http://bit.ly/2fAzo
4,@EAJosh where did you find a bowling pin costume?! hahaha. that is quite amazing. 
0,"cough, cough, sniffle, is that a cold?? Im about to call out!!! Yay! SIKE. Reporting to work at 8am "
0,feels his stomach groaning but he doesn't want to eat...  http://plurk.com/p/yuw38
4,@stefrabago OURS GOT MOVED TO THE 16! YAAAAY! 
4,@rovr138 ... THANKS 
4,"@maggiedickson I saw it and i can't wait, i'll be there for sure!! "
0,I hate I miss my am walk with my 2 partners  20 flights it is
0,It's too hot 
4,"@charliexxx Awww, I'd be freaked out. You know; is this reality or not? xD. Yeah, it's cool. Soooo fun. "
0,@thesehazeleyz no he's not  I won't get to see him
4,im going to kill you and hang you by your balls from a tree branch thats about to fall off. :* 
0, missed my dads phone call
0,"I dont think i could live in the land of oz, this london weather is too much for me "
0,Queen Of The Supermarket!!!!..... wish i was in Sweeden last night 
4,"I heard about this Dane Cook thing from my sister, anybody have a youtube link etc. that has the video for it? I heard it's good. "
0,@islanesia For some reason I thought that said 'necrophile' 
0,@Saraa_xD What I TRIED to say was 'it seems like the people of Facebook don't agree'... I guess I fail  -cries-
0,@Sarahsquirt its sooooo good...i just don't want the twilight series to end 
0,first i miss out on @ladygaga and NOW Kelly Clarkson! ARGH!  It's ok - coming home on SUNDAY!
0,@iamlittleboots it's always behind the clouds! 
0,@RayBeckerman I've been told they were burning corpses   ...
4,"Hey! I got back from my brother's soccer game, then I went to Target, and then had pizza!! "
4,"At santiagos with Jeremy, Michael, and Cait "
0,@MAllinotte The first thing she asked was if I was going to fire her. 
4,@waynebrady Happy Birthday!!!!  Hope you have an awesome day!!! 
0,Oww. My eye stings. 
0,Got off work late and missed my last shot at @criticalmasstopeka for a while  I feel a little better after finding orange nylon @Joann's!
4,ah! youtube is on site matience right now... i hate this... its ok. i'm in the middle of some art... 
0,waitn for my gyrl Dinae to swing through visitin from Dirty Jerz....my baby gyrl jus went to her end of the yr formal dance  i'm getti ...
4,"star trek is the best full animation movie ! chris pine was awfully , he's so mine . awww "
4,@tkdsoulkat Mornin' Kat! Anime with breakfast will definitely get you revved up. Have a great day. 
4,hello world 
0,@christina_savs and then we're no one  boo that stinks hahah but yes! the three forms of miley!
0,Gave MCN a copy of Detours. Wish i'd had notice i would've given em a copy of the tfpf sample dvd.  
0,@MyNameIsEaz I was just playin...I apologize sir  !!!
0,@PrincessSakura lol asif ur sat on a sun lounger when I have to go to the denist 
0,@Kalediscope hhhaaaa! wooow!!! interesting a beater cake...awwww 
0,@yoovilla me too   i'm really going to miss this computer lol
0,"We just lost our lil Roxxtarr. Jack-a-poo arrived and left in june. Im so sorry, love. "
4,THANK YOU to the nice McGraw Hill lady who just gave me a free big red bag.  #BEA09
4,im at home watching lee evans  &lt;3 17 days till the est time ever &lt;3 loves him sooooooo much &lt;3
4,got tons of yard work done today. finally. KAedens got sunburned ears!! sorry about the snow in colorado LEANZACK! 
4,At chile's with some people  fun stuff.
0,@skinnyribs  why must you sell that itokin piece when i'm soooooo broke  ha
0,I miss my straightener. 
4,"@MrsWsKitchen Glad to see you on Twitter!  Since we are both new, we can discover it together.    It will be fun.  I love new adventures."
0,Gonna have a second cup of coffee and then run to store to get Gatorade for hubby... it's not looking so great here today 
0,@rosatti bummer your internet wasn't cooperating last night 
0,what the fuck? like why me? guess im bad luck? 
0,@deejsylvis i would if i could!!! i'm all alone at the apartment again tonight 
0,"@Pheona_Kin I expected a change from Niall, though not this extreme. But Donia seems like a different person! One I don't like! "
4,fuck twilight cuh! harry potter all the way! LOL  emma watson over kristen stewart ANY DAY!
0,"Right its way too late, need to stop these late nights. Off to bed now. Gym, Radio, and Graphics ACTUAL REAL LIFE WORK tomorrow "
4,at matthews graduation  he was ken from barbie girl and tpain for get low and a bunny 
4,@Kev_Kev yeah its where the coolest people will be and the loudest aswell!!  i so hope we get to stand infront of the stage though 
0,My jaw really dropped when I heard Heartless - Kris Allen on someone's Multiply site. Kris is getting &lt;s&gt;famous&lt;/s&gt;MAINSTREAM. 
0,This is the saddest fucking picture I have ever seen. http://i43.tinypic.com/2jbqvdf.png 
0,@kathryn_green_x aye  but I'm better than I was  think in going to school 2maro tho. Any gd o)!
0,Arrived at the workshop I'm hosting 30 minutes early to find they've scheduled me later than confirmed... 3.5 hours to wait now... 
0,@Broke_Grimey ohh I'm in bed tho 
0,"so apparently you can't get the flu after you have a flu shot..tell that to my aching joints, constant cough and fever "
4,@Ronjayy well thank you. i love u too 
0,The reality that I'm going to have to leave Las Vegas and all my new friends is giving me feelings akin to summer camp ending 
4,my brake up song will always be say good bye. I lub dat song. 
4,@beauTIFFul thanks!!! ill hang in it don't trip. and I will also relay the message 
4,Omg the Gaming Event was so much fun at work..ahhh what a relief 
4,"@Sweena you're a proper geek aren't you?  Ive never been to a comic show or convention, am definitely lacking in that geek respect!"
4,@tommcfly http://twitpic.com/47rhq - i love yours guitars 
4,"@PostSecretFan macs are better b/c no viruses, fewer crashes and general awesomeness "
4,Saw the X-Men movie!  
0,Waiting to hear from Clarion in St.George's. 
4,just purchased @animalupstairs artwork again  addiction unfolding? oh but its so good.
4,Something real weird is goin on!!! 
4,"infamous is pretty cool, got a good sound and feel to the game "
4,"OMG! The best 80's leopard rara dress ever, don't want to sell it  xxx"
4,@matthoffman It's the little star or favorite button. 
4,Oh yeah that was my bf's dust you were eating last night!capeSTowners and FRC are taking over baby 
0,I'm still drunk from last night 
0,"@louiseisanelf Boo, I only get four. "
0,@ILikeBubbles Now you've just burst my bubble.  /pout
4, might be joining a BAND!!
0,"@kissmykitty I'm not using WordPress  I just need a simple PHP code, but alas, I can't find one!"
0,"@gold13 nope, it certainly does not count  haha"
0,@BrownSuga3000 THANX FOR TELLING ME!! 
0,let the summer work begin school and bakeside is my life 
4,has fallen in love with emerica all over again. 
4,@celiaistall :S i don't get it ? how do you win? I WIN  YAY! haha and you'll never beat me 
4,@wollepb congrats!  hope they can both come home soon and that all of you will get some sleep - during the next years ;)
0,It's just not cool. 
4,watching &quot;this is howie do it&quot;  
0,@Arbalestx NATM2 &amp; TRANSFORMERS2  eh you spelt my name wrongly on the forum la. so hurt.  TMR WILL COME okay it has to!
0,"@JA_Sunshine Thanks,sorry i cant reply on my mobile so I just text update  Was at a family party,no pics of food lol it was yum tho!"
0,@juicystar007 Some cherry pits are poisonous to doggys and can make them sick! 
0,"@NakedArtNZ yeah shes doing awesome, good sleeper, eats like mad!! poor boobs gone up 2 more cups, cant find a bra that fits "
0,@TerryTarry psh! i wanted to save that idea 
4,@Misskay86 oh man!! I'm so ready for bed!! LOL I'm thinking bubblies are needed to celebrate the first night in d's apartment!! 
4,@smallbizlady  good evening how did the presentation go? 
4,Goodness! a tiring day again. Just played the piano. Really soothes me. 
0,studying again 
4,"Just got back from a swim meet. whew, 50m fly tomorrow! "
4,@robluketic It is? 
4,sleep comes for us all. goodnight twitter-land! had a blast at the house party at the Gloveshack tonight 
4,oh and he's coming over tonight to meet the rents omgz... 
0,Oh I'm bawling now. This is what &quot;The Lion King&quot; does to you. 
0,The Air France plane doesn't sound good. 
0,feels like want to hug my mom sooo tight! i'll miss her 
4,@britneyspears will win the MTV Movie Award for Best International Video 
4,@Emzie1234 aww no I meant from ikea! It's ï¿½1.05 a can  wish I had found the factory tho.... Should last me a while! Hehe
0,@kemiFRESH i mean we mite do sumthn.... what u doin hope i get 2 c u b4 u head bak 
4,Finally home up and functioning after last nights post BGt party. Twas most excellent 
0,@JoeJxFlyWithMe we should be prepared for tons of girlfriend drama 
4,@BrodyJenner it was ok... Don't have high expectations 
4,Oh AND i'm in cabin a! They're the youngest campers-7 and 8  it's going to be a partay!
4,Just saw the red arrows in galway- brilliant work 
4,@cin311g happen just watch. We are such awesome #311 fans 
0,feel like absoloute poopy today! wanna go for a walk but dont know if ash will have time! 
4,@saratea Very nice! 
4,@mikeyway heyy  you ok??? xx
0,@riversideboy no.....they are either out somewhere or live too far away to just casually stroll over and see 
0,This crazy guy is stalkin the ice cream man &amp; we couldn't get any ice cream 
4,That Fool Episode 3 editing is done.  Need spot translations.
4,GRO shall be in town in a matter of hours  wicked STOKED!!!
0,"@HeriCabral arghhhhhhhhh my hair  it's allllllllll I haaaaaaveeee, hehehe."
4,@Arkhell Make sure you Tweet the photos 
0,@manduhbabyy  mike a From pierce the veil is going. I think aha 
4,has figured out how to properly iron shirts by some miracle!  
4,I enjoyed the day with my family!  Praise God for family! 
4,@elathrop32  it makes me happy that it made you laugh!
4,just got home..back in V-East  ..had a blast @ Tita Grace's place ((CORRECTION TO MY PREVIOUS POST: HE WOULD... http://plurk.com/p/sy7o0
0,@SimpleMia Yes. Need to listen to sad SP-Songs 
0,I just had the worst haircut of my life 
0,Ah oh so sunny! the wheels are in motion for prom! skl 2mow! 
0,Not so happy right now  But I'll get over it=\
4,@forrrrrrrrrrest http://twitpic.com/4jazs - Congratulations! You two are adorable. Beautiful ring too! 
0,"Enjoyed his first day back at work, is now tired  -  shame I have to back tomorrow  "
4,@doart I'll bring you some cami cakes... tuesday 
4,I haven't been able to get on Twitter today 'til just now! Busy busy busy. What did I miss? Shower time then I'll be back 
0,"@haylee_123 I'm so sorry, hon. My condolences "
0,"I really want a shot of flaming sambuca, but I'm not allowed to start fires in the flat "
0,On my last full week of school. Next week: Exams! 
4,"@LarissaGlueck Thank you, Larissa! "
4,@immin Star Trek. im obsessed with that movie 
4,@Natasja_Cupcake home-made burgers are the best 
4,@ellemarrie yessss ! I honestly like this better than twitterberry I can see profiles and the amount of followers I have its real cute 
4,@Sherylhays its a great one! I love that song on the plane too 
0,daaaaaa! why is it monday  officially starting to load up on energy drinks!
0,Just finished getting ready 4 bed... Gunna watch some TV then go 2 bed. Wishing my boyfriend was here 
0,I'm guilty. I like Kiss Me Thru the phone. 
0,I've been up since fuckin 2:14 and I hatee it. I want sleep. I want jeremyyy to hold me while I sleep. Stupid teenage cravings 
4,@ashleytisdale germany is of course the MOST BEAUTIFUL country 
0,@MirkleyJo I did! In mansfield? Nottingham? Manchester? Where WERE we? Oh dunno sushi or Chinese. Veggie food lacks diversity 
0,"@DanaDMB Awww  Road trip from Vegas, or too prego by then?"
4,Went from 11 to 10 followers tonite.  Was it something I said or didn't say?? 
4,@KIMP19 Awwww u r not!!!!!!! Don't beat urself up over it!!!! Ur allowed every now and then 
4,@iFanini FANINIIIIIIIIIIIIIIIIIII where you at??? need your help bro!!! 
4,@MistressLorelei I like to believe that low lieing things will just move for me......  
0,@ecosalon Very hmmm and grrr since it is affective my blog stats 
0,Eating dinner at 6pm makes me hungry now at 2am. 
4,Oooooooh. Just received my first box of goodies from @grazedotcom . Yummy + exciting. How to brighten up a Wednesday in the office 
0,Nose stuffies.. ick! why must I be sick at the beginning of summer 
0,@aplusk I agree!! But it sucked that their servers crashed yesterday! 
4,My friend claudia is a nut chase 
0,Can't remember the last time I was this sick.. 
4,@justmeghan i have mr mc squared lol &amp;roberts. roberts= best history teacher EVER 
4,"@billyraycyrus  heey, brazil loves you and miley "
0,watching the AEGON International final in Eastbourne. still cheering for Wozniacki but feel really down 
4,thanks to everyone following me  i have a bebo http://www.bebo.com/madison_pettisxx
0,OMG lightning in Altringham hit a house and made the roof catch fire and collapse  WOW that's y I'm afraid of lightning!
4,@nessie111 yeah - maybe not on the level of Kutcher but certainly some part of the twitterati  you have like 3000 followers!
4,"@groggits lol nah they are not that amazing, sweet though "
0,"@mindtechnica was sitting outside enjoy the warm sun, but slight cool breeze and nature...... until battery died on the laptop. "
